From 30 (input= n): 1id
From 30 (input= o): 1id
From 30 (input= p): 1id
From 30 (input= q): 1id
From 30 (input= r): 1id
From 30 (input= s): 1id
From 30 (input= t): 40int
From 30 (input= u): 1id
From 30 (input= v): 1id
From 30 (input= w): 1id
From 30 (input= x): 1id
From 30 (input= y): 1id
From 30 (input= z): 1id
From 31 (input= 0): 1id
From 31 (input= 1): 1id
From 31 (input= 2): 1id
From 31 (input= 3): 1id
From 31 (input= 4): 1id
From 31 (input= 5): 1id
From 31 (input= 6): 1id
From 31 (input= 7): 1id
From 31 (input= 8): 1id
From 31 (input= 9): 1id
From 31 (input= A): 1id
From 31 (input= B): 1id
From 31 (input= C): 1id
From 31 (input= D): 1id
From 31 (input= E): 1id
From 31 (input= F): 1id
From 31 (input= G): 1id
From 31 (input= H): 1id
From 31 (input= I): 1id
From 31 (input= J): 1id
From 31 (input= K): 1id
From 31 (input= L): 1id
From 31 (input= M): 1id
From 31 (input= N): 1id
From 31 (input= O): 1id
From 31 (input= P): 1id
From 31 (input= Q): 1id
From 31 (input= R): 1id
From 31 (input= S): 1id
From 31 (input= T): 1id
From 31 (input= U): 1id
From 31 (input= V): 1id
From 31 (input= W): 1id
From 31 (input= X): 1id
From 31 (input= Y): 1id
From 31 (input= Z): 1id
From 31 (input= a): 1id
